timestamp,action_id,reward,s_rx_mbps_p1,s_delay_ms_p1,s_util_rx_pct_p1,s_rx_pps_p1,s_avg_rx_pkt_bytes_p1,s_priority_tag_p1,s_policing_rate_kbps_p1,sim_delay_p1,s_rx_mbps_p2,s_delay_ms_p2,s_util_rx_pct_p2,s_rx_pps_p2,s_avg_rx_pkt_bytes_p2,s_priority_tag_p2,s_policing_rate_kbps_p2,sim_delay_p2,s_rx_mbps_p4,s_delay_ms_p4,s_util_rx_pct_p4,s_rx_pps_p4,s_avg_rx_pkt_bytes_p4,s_priority_tag_p4,s_policing_rate_kbps_p4,sim_delay_p4
AUG_0,0,-138.0131,0.8965996163295856,0.891900307465781,0.896598080552782,0.7780015702531364,0.3347567715315842,0.24999993750001562,0.767534912729522,307.21,0.15971851497384837,0.05376619250836367,0.159718240223171,0.19896068314584997,0.9730398737207658,0.24999993750001562,0.4699934651809775,2.12,0.13723084782260092,0.00023890440936697317,0.13723062153735913,0.12107973165187641,0.9810165027413721,0.6666664444445185,0.10808233233580461,20.68
AUG_0,1,-64.942,0.8965996163295856,0.891900307465781,0.896598080552782,0.7780015702531364,0.3347567715315842,0.24999993750001562,0.767534912729522,307.21,0.15971851497384837,0.05376619250836367,0.159718240223171,0.19896068314584997,0.9730398737207658,0.24999993750001562,0.4699934651809775,39.89,0.13723084782260092,0.00023890440936697317,0.13723062153735913,0.12107973165187641,0.9810165027413721,0.6666664444445185,0.10808233233580461,2.1
AUG_0,2,-290.3442,0.8965996163295856,0.891900307465781,0.896598080552782,0.7780015702531364,0.3347567715315842,0.24999993750001562,0.767534912729522,37.48,0.15971851497384837,0.05376619250836367,0.159718240223171,0.19896068314584997,0.9730398737207658,0.24999993750001562,0.4699934651809775,39.89,0.13723084782260092,0.00023890440936697317,0.13723062153735913,0.12107973165187641,0.9810165027413721,0.6666664444445185,0.10808233233580461,20.68
AUG_0,3,55.8398,0.8965996163295856,0.891900307465781,0.896598080552782,0.7780015702531364,0.3347567715315842,0.24999993750001562,0.767534912729522,82.46,0.15971851497384837,0.05376619250836367,0.159718240223171,0.19896068314584997,0.9730398737207658,0.24999993750001562,0.4699934651809775,8.77,0.13723084782260092,0.00023890440936697317,0.13723062153735913,0.12107973165187641,0.9810165027413721,0.6666664444445185,0.10808233233580461,2.4
AUG_1,0,-138.159,0.6509083195745814,0.6350425843061853,0.6509072046400216,0.5449161503587979,0.6006550443255502,0.0,0.92955962264376,241.06,0.010602266339724815,0.0001517643564713445,0.010602248101514552,0.049558170199116465,0.6490553855579411,0.0,0.8391963135523933,2.1,0.16441946941817293,0.0003686189727213837,0.16441919830056342,0.1292468924647817,0.6591564111289103,0.9999996666667778,0.9196820344610793,23.22
AUG_1,1,-66.7853,0.6509083195745814,0.6350425843061853,0.6509072046400216,0.5449161503587979,0.6006550443255502,0.0,0.92955962264376,241.06,0.010602266339724815,0.0001517643564713445,0.010602248101514552,0.049558170199116465,0.6490553855579411,0.0,0.8391963135523933,179.41,0.16441946941817293,0.0003686189727213837,0.16441919830056342,0.1292468924647817,0.6591564111289103,0.9999996666667778,0.9196820344610793,2.1
AUG_1,2,-291.356,0.6509083195745814,0.6350425843061853,0.6509072046400216,0.5449161503587979,0.6006550443255502,0.0,0.92955962264376,24.25,0.010602266339724815,0.0001517643564713445,0.010602248101514552,0.049558170199116465,0.6490553855579411,0.0,0.8391963135523933,179.41,0.16441946941817293,0.0003686189727213837,0.16441919830056342,0.1292468924647817,0.6591564111289103,0.9999996666667778,0.9196820344610793,23.22
AUG_1,3,74.9511,0.6509083195745814,0.6350425843061853,0.6509072046400216,0.5449161503587979,0.6006550443255502,0.0,0.92955962264376,60.4,0.010602266339724815,0.0001517643564713445,0.010602248101514552,0.049558170199116465,0.6490553855579411,0.0,0.8391963135523933,2.38,0.16441946941817293,0.0003686189727213837,0.16441919830056342,0.1292468924647817,0.6591564111289103,0.9999996666667778,0.9196820344610793,2.48
AUG_2,0,-130.0372,0.945516254867994,0.9430401588383981,0.9455146353023535,0.9197845262863817,0.5575185870075922,0.24999993750001562,0.6932552692199913,320.38,0.17642127549454906,0.05747084266748675,0.17642097201148108,0.15394168074676742,0.6466672338015094,0.7499998125000469,0.5385830399859427,2.12,0.05808686379052514,0.00016699590399387457,0.05808676800885338,0.07594958402605496,0.4946184962390621,0.33333322222225925,0.2589863900061971,6.91
AUG_2,1,-64.9801,0.945516254867994,0.9430401588383981,0.9455146353023535,0.9197845262863817,0.5575185870075922,0.24999993750001562,0.6932552692199913,320.38,0.17642127549454906,0.05747084266748675,0.17642097201148108,0.15394168074676742,0.6466672338015094,0.7499998125000469,0.5385830399859427,42.13,0.05808686379052514,0.00016699590399387457,0.05808676800885338,0.07594958402605496,0.4946184962390621,0.33333322222225925,0.2589863900061971,2.09
AUG_2,2,-282.6131,0.945516254867994,0.9430401588383981,0.9455146353023535,0.9197845262863817,0.5575185870075922,0.24999993750001562,0.6932552692199913,40.12,0.17642127549454906,0.05747084266748675,0.17642097201148108,0.15394168074676742,0.6466672338015094,0.7499998125000469,0.5385830399859427,42.13,0.05808686379052514,0.00016699590399387457,0.05808676800885338,0.07594958402605496,0.4946184962390621,0.33333322222225925,0.2589863900061971,6.91
AUG_2,3,54.5458,0.945516254867994,0.9430401588383981,0.9455146353023535,0.9197845262863817,0.5575185870075922,0.24999993750001562,0.6932552692199913,86.85,0.17642127549454906,0.05747084266748675,0.17642097201148108,0.15394168074676742,0.6466672338015094,0.7499998125000469,0.5385830399859427,11.71,0.05808686379052514,0.00016699590399387457,0.05808676800885338,0.07594958402605496,0.4946184962390621,0.33333322222225925,0.2589863900061971,2.27
AUG_3,0,-141.2467,0.7049463422445074,0.6915365816531266,0.7049451347487415,0.636827284777858,0.04518535721269142,0.7499998125000469,0.14700698505872645,255.61,0.09795008600346045,0.0021583057806753617,0.0979499175079514,0.10447159152217732,0.778526148032667,0.0,0.10560683015837277,2.11,0.12811656222122314,0.0002211655971550703,0.1281163509648787,0.16435643943115594,0.7104838683997401,0.0,0.5168562111767527,82.57
AUG_3,1,-64.2425,0.7049463422445074,0.6915365816531266,0.7049451347487415,0.636827284777858,0.04518535721269142,0.7499998125000469,0.14700698505872645,255.61,0.09795008600346045,0.0021583057806753617,0.0979499175079514,0.10447159152217732,0.778526148032667,0.0,0.10560683015837277,31.6,0.12811656222122314,0.0002211655971550703,0.1281163509648787,0.16435643943115594,0.7104838683997401,0.0,0.5168562111767527,2.1
AUG_3,2,-292.1847,0.7049463422445074,0.6915365816531266,0.7049451347487415,0.636827284777858,0.04518535721269142,0.7499998125000469,0.14700698505872645,27.16,0.09795008600346045,0.0021583057806753617,0.0979499175079514,0.10447159152217732,0.778526148032667,0.0,0.10560683015837277,31.6,0.12811656222122314,0.0002211655971550703,0.1281163509648787,0.16435643943115594,0.7104838683997401,0.0,0.5168562111767527,82.57
AUG_3,3,59.536,0.7049463422445074,0.6915365816531266,0.7049451347487415,0.636827284777858,0.04518535721269142,0.7499998125000469,0.14700698505872645,65.25,0.09795008600346045,0.0021583057806753617,0.0979499175079514,0.10447159152217732,0.778526148032667,0.0,0.10560683015837277,6.44,0.12811656222122314,0.0002211655971550703,0.1281163509648787,0.16435643943115594,0.7104838683997401,0.0,0.5168562111767527,2.38
